University,First Name,Last Name,Email,Gender ,Status,Graduation Year,Country of Origin,Current Country,Current City,Occupation,Company,Highest Level of Education
UW-Whitewater,Joshua,Short,joshua.short@yahoo.com,Male,International Student,2003,France,Netherlands,Amsterdam,VP of Marketing,C E Walls Auto Seat Covers,MBA
UW-Whitewater,Adam,Al shethri ,adam.Alshethri@yahoo.com,Male,International Student,2007,Saudi Arabia,Norway,HALDEN,Account Collector,Elbert-Palmer Elementary Schl,Bachelor
UW-Whitewater,Tim,Avery,tim.avery@yahoo.com,Male,International Student,2007,Syria ,Cyprus (Anglicized),Limassol,Accounting Specialist,Gennaria Appraisal Co,Ph.D
UW-Whitewater,Anthony,Hodges,anthony.hodges@yahoo.com,Male,International Student,2011,Lebanon ,Sweden,…STERSUND,Adjustment Clerk,Cns Gas Inc,Bachelor
UW-Whitewater,Dominic,Rampling,dominic.rampling@yahoo.com,Male,International Student,2011,Moroco ,Czech Republic,Ledec nad S‡zavou,Administrative Assistant,Milton Outpatient Svc,Bachelor
UW-Whitewater,Edward,Dowd,edward.dowd@yahoo.com,Male,International Student,2011,Iraq,South Africa,Kragbron,Administrative Law Judge,Nationwide Insurance,Bachelor
UW-Whitewater,Joe,Bond,joe.bond@yahoo.com,Male,International Student,2007,Cyprus (Greek),Cyprus (Greek),_______,Administrative Service Manager,Red Mill Amoco,Bachelor
UW-Whitewater,Simon,Davidson,simon.davidson@yahoo.com,Male,International Student,2003,Norway,Norway,SKIEN,Admiralty Lawyer,Crumbs,Bachelor
UW-Whitewater,Anthony,Wright,anthony.wright@yahoo.com,Male,International Student,2004,Netherlands,Netherlands,Utrecht,Adult Literacy and Remedial Education Teachers,Woloshin Lynch,Bachelor
UW-Whitewater,Dylan,Reid,dylan.reid@yahoo.com,Male,Visiting Student,2008,Sweden,Sweden,STUGUN,Advertising Account Executive,Master Card Mid Atlantic Regn,Bachelor
UW-Whitewater,Sam,Nash,sam.nash@yahoo.com,Male,Visiting Student,2002,Slovenia,Slovenia,Koper,Advertising Agency Coordinator,George H Hoffecker Inc,Bachelor
